Tiempo;Izquierda_S1;Izquierda_S2;Izquierda_S3;Izquierda_S4;Izquierda_S5;Izquierda_S6;Izquierda_S7;Izquierda_S8
62459;196;330;461;399;335;615;793;281
62469;195;329;460;399;335;614;794;280
62479;195;329;461;398;334;614;794;281
62489;196;330;461;399;335;615;794;281
62499;196;329;460;399;334;615;794;282
62509;196;329;461;398;335;615;795;282
62519;196;329;460;398;335;615;795;282
62529;197;329;460;397;335;616;795;282
62539;197;328;461;397;335;616;795;282
62550;197;329;461;397;334;616;796;283
62559;197;328;461;398;335;617;796;283
62569;197;329;461;398;335;617;796;283
62579;198;329;462;397;335;617;796;283
62589;197;329;461;398;335;617;795;284
62599;197;329;461;399;335;617;795;284
62609;197;329;461;398;335;618;795;284
62619;198;328;461;399;335;617;795;284
62629;198;328;462;399;335;617;794;284
62639;199;328;462;398;335;616;794;284
62649;200;328;462;398;336;616;794;284
62659;200;329;463;398;336;616;793;284
62669;200;328;462;397;335;616;791;284
62679;200;329;463;398;335;616;791;284
62689;202;329;465;400;335;616;790;285
62699;202;328;464;400;335;616;789;285
62709;202;329;465;400;335;615;788;285
62720;203;329;465;400;336;616;788;285
62729;203;329;466;401;335;614;785;285
62739;204;329;466;401;335;613;784;285
62749;204;329;467;401;335;613;782;284
62759;204;329;468;401;334;612;781;284
62769;204;329;468;401;334;611;780;284
62779;204;329;468;402;334;611;780;284
62789;204;329;469;402;334;610;778;284
62799;204;329;469;401;334;610;778;283
62809;204;329;470;401;334;609;777;283
62819;205;329;471;400;334;609;777;283
62829;206;330;472;401;334;610;777;283
62839;205;329;471;399;334;609;776;283
62849;205;329;471;398;334;609;776;282
62859;206;329;472;397;334;609;774;282
62869;205;329;472;396;334;608;774;281
62879;205;330;472;396;334;607;773;280
62889;207;329;472;395;334;607;772;279
62899;207;329;473;394;334;607;771;279
62909;207;330;472;394;334;607;771;278
62919;208;330;472;393;334;606;770;277
62929;208;330;473;393;335;606;770;276
62939;209;330;473;393;334;606;770;275
62949;209;330;473;392;334;606;770;275
62959;209;329;473;392;334;606;770;274
62969;209;330;473;392;335;606;770;273
62979;209;330;473;391;335;605;770;273
62989;210;330;473;391;335;605;771;272
62999;210;331;473;391;335;606;770;272
63009;210;330;473;391;335;606;771;272
63020;210;331;472;392;335;606;770;272
63029;210;332;472;392;334;607;771;272
63039;210;331;472;392;334;607;771;271
63049;209;331;472;392;334;607;771;271
63059;209;331;472;392;334;607;771;271
63069;210;331;472;392;334;608;771;271
63079;209;331;472;392;334;608;771;271
63089;210;331;472;392;334;608;772;270
63099;210;331;472;392;335;608;772;270
63109;210;331;472;392;335;609;772;270
63119;210;331;472;392;334;609;772;269
63129;210;331;472;392;335;608;773;269
63139;211;330;472;392;335;608;772;269
63149;210;331;472;392;335;608;772;268
63159;210;330;472;392;334;608;772;268
63169;210;331;472;392;335;608;772;267
63179;210;331;472;392;335;608;771;267
63190;210;331;472;393;335;608;771;266
63199;210;331;472;393;335;608;771;266
63209;210;331;472;393;336;607;771;265
63219;211;331;472;394;336;607;770;265
63229;210;331;472;395;336;607;770;264
63239;211;331;472;395;335;607;770;264
63249;211;331;472;395;336;607;770;264
63259;210;331;472;395;336;608;769;263
63269;210;331;472;395;336;607;769;262
63279;210;331;472;396;337;607;768;261
63289;211;331;473;396;336;607;768;261
63299;211;331;472;395;337;608;767;260
63309;210;331;473;396;337;607;767;259
63319;211;330;473;394;337;607;767;258
63329;210;331;473;394;337;607;766;258
63339;211;331;474;393;337;607;766;257
63349;210;331;473;392;337;607;766;256
63360;211;331;474;391;338;606;766;256
63369;211;331;474;392;337;606;765;255
63379;211;331;474;391;337;606;764;254
63389;211;331;475;391;337;605;764;254
63399;211;332;476;391;338;605;764;254
63409;211;331;475;390;338;604;762;253
63419;211;331;476;390;338;603;761;252
63429;210;331;476;391;337;602;761;252
63439;211;331;476;391;338;601;760;252
63449;211;331;476;392;337;601;761;252
63459;211;331;476;392;338;601;760;252
63469;210;331;476;393;337;601;759;251
63479;210;331;476;393;337;600;760;251
63489;211;331;477;394;338;601;760;252
63499;210;330;476;394;338;600;760;251
63509;210;330;476;394;337;600;759;250
63519;210;330;476;394;337;600;759;250
63529;210;331;476;394;337;599;759;250
63539;210;331;476;395;337;599;758;249
63549;210;330;476;395;336;599;759;249
63559;210;330;476;395;336;599;759;248
63569;210;330;476;395;335;599;758;247
63579;210;331;475;396;334;599;758;247
63589;210;331;476;396;334;599;758;246
63599;210;331;474;396;333;599;758;246
63609;210;330;473;397;332;600;759;245
63619;210;330;473;396;332;600;759;244
63629;210;331;472;397;332;601;760;244
63639;211;331;472;397;331;600;762;245
63649;210;330;469;397;330;601;763;245
63660;210;330;468;396;330;602;764;245
63669;210;330;467;396;330;602;766;244
63679;210;330;466;396;330;602;767;245
63689;209;330;464;396;329;603;767;245
63699;208;330;463;396;328;605;770;246
63709;208;329;462;396;329;604;768;245
63719;207;329;461;395;328;604;771;245
63729;206;330;460;395;328;605;772;246
63739;204;329;459;397;328;607;773;247
63749;203;329;457;396;327;607;772;246
63759;201;329;456;396;327;609;774;247
63769;200;329;456;396;327;610;775;247
63779;199;329;455;396;327;611;776;247
63789;198;329;455;396;327;611;777;247
63799;197;329;455;396;328;612;778;247
63809;197;329;456;396;328;613;780;247
63819;196;329;456;396;328;613;781;246
63830;195;329;456;396;329;614;783;247
63839;196;330;458;397;330;616;786;247
63849;194;329;458;396;330;616;788;249
63859;194;329;459;397;330;617;790;250
63869;194;329;460;397;330;619;794;251
63879;196;329;463;397;330;619;795;254
63889;197;329;464;397;329;619;797;256
63899;197;329;466;398;328;620;799;260
63909;199;329;468;398;327;620;800;263
63919;200;328;470;399;326;619;801;266
63929;200;328;473;400;326;618;802;268
63939;199;328;474;401;325;617;803;271
63949;199;327;477;402;324;616;803;273
63959;199;327;479;403;324;616;803;276
63969;198;327;480;404;323;616;804;279
63979;197;327;482;405;322;615;804;281
63989;196;328;483;406;321;616;804;284
64000;196;328;485;407;320;616;805;286
64009;195;329;487;408;320;617;806;288
64019;196;329;489;409;320;618;806;289
64029;195;329;491;410;320;620;806;291
64039;195;330;492;411;319;621;807;292
64049;195;330;493;412;319;622;808;293
64059;194;330;495;413;319;624;809;295
64069;194;330;496;414;319;625;810;296
64079;194;331;497;415;319;627;810;299
64089;195;332;498;416;320;627;811;299
64099;194;333;499;417;320;629;811;300
64109;195;332;499;417;321;630;812;301
64119;194;334;500;419;320;631;813;301
64129;194;334;501;419;321;633;813;302
64139;194;334;501;419;322;633;814;302
64149;193;335;501;419;322;634;814;304
64159;194;335;502;420;322;635;815;304
64169;193;335;501;421;323;635;815;305
64179;193;336;501;421;324;634;815;304
64189;193;336;500;421;324;634;814;305
64199;193;337;500;422;325;635;815;306
64209;193;337;498;421;325;633;813;305
64219;192;337;496;421;325;633;812;306
64229;191;337;494;421;326;633;812;306
64239;191;338;491;420;326;633;812;306
64249;190;338;489;418;326;633;812;306
64259;190;338;486;416;325;633;812;306
64269;191;337;482;413;325;634;813;307
64279;191;337;479;409;325;634;813;307
64289;191;337;475;407;324;634;814;306
64300;191;337;470;404;323;634;813;306
64309;190;338;465;402;322;633;813;305
64319;190;337;460;399;322;632;813;303
64329;189;337;454;397;321;631;812;301
64339;189;338;450;396;321;630;812;300
64349;188;337;443;394;319;626;808;297
64359;187;336;438;393;317;623;807;293
64369;187;336;432;391;315;620;804;289
64379;187;335;427;390;314;616;801;284
64389;187;335;422;389;312;612;797;279
64399;187;334;418;388;311;608;791;273
64409;187;334;414;388;309;603;785;268
64419;188;334;409;387;307;595;775;262
64429;188;333;404;386;305;583;758;257
64439;188;332;397;385;303;566;732;251
64449;188;332;389;383;300;544;694;246
64459;189;331;380;380;297;517;653;242
64470;189;330;372;377;294;490;615;237
64479;189;330;363;373;290;464;578;231
64489;189;329;353;369;286;439;543;226
64499;190;329;338;365;281;416;507;220
64509;189;328;316;359;277;392;472;213
64519;189;327;293;353;273;369;437;206
64529;186;327;271;346;268;347;400;200
64539;184;326;250;339;262;325;364;193
64549;182;324;228;330;256;304;329;186
64559;180;323;206;319;250;282;298;178
64569;178;322;186;308;244;264;269;170
64579;177;320;169;294;239;253;243;163
64589;174;318;153;278;233;243;220;156
64599;173;316;138;258;228;233;199;152
64609;170;312;125;237;224;223;180;148
64619;166;309;113;217;223;215;163;146
64629;164;304;102;197;224;209;148;144
64640;161;300;93;179;222;202;134;141
64649;161;295;84;161;222;194;121;133
64659;159;291;76;146;221;188;110;125
64669;154;286;68;132;218;185;99;119
64679;149;281;62;119;215;181;90;113
64689;145;279;56;108;209;180;81;107
64699;140;275;51;98;203;178;74;102
64709;136;272;46;88;195;177;67;97
64719;132;269;41;80;186;176;61;93
64729;128;262;37;72;176;176;55;88
64739;124;256;34;65;167;176;50;85
64749;120;249;31;59;157;176;45;82
64759;117;243;28;53;150;176;42;80
64769;117;241;25;48;144;176;37;78
64779;119;240;22;44;141;175;34;76
